ID,name,location,date,source,x,y,notes,top,bottom,clay,silt,sand,particle_density,bulk_density,FC,PWP,FastDP,SlowDP,total_porosity,dispertion_ratio,electric_conductivity,hydraulic_conductivity,infiltration_velocity,pH,organic_matter,N,P,K,MWDV
12952,UChile-Galleguillos_15_40,NA,NA,CHLSOC,-71.28755253,-30.2789182,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.198344817,-999,-999,-999,-999
12953,UChile-Galleguillos_16_14,NA,NA,CHLSOC,-71.30350192,-30.28107651,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.398344993,-999,-999,-999,-999
12954,UChile-Galleguillos_17_1,NA,NA,CHLSOC,-71.27318617,-30.26458119,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.244452829,-999,-999,-999,-999
12955,UChile-Galleguillos_17_38,NA,NA,CHLSOC,-71.23641481,-30.29116199,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.065830376,-999,-999,-999,-999
12956,UChile-Galleguillos_18_33,NA,NA,CHLSOC,-71.25326618,-30.2933066,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.852679077,-999,-999,-999,-999
12957,UChile-Galleguillos_19_32,NA,NA,CHLSOC,-71.27945126,-30.25145934,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.061348756,-999,-999,-999,-999
12958,UChile-Galleguillos_2_20,NA,NA,CHLSOC,-71.23845405,-30.29924695,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.512344998,-999,-999,-999,-999
12959,UChile-Galleguillos_20_8,NA,NA,CHLSOC,-71.24628016,-30.27232733,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.309096576,-999,-999,-999,-999
12960,UChile-Galleguillos_21_12,NA,NA,CHLSOC,-71.24713571,-30.26903343,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.917298668,-999,-999,-999,-999
12961,UChile-Galleguillos_22_31,NA,NA,CHLSOC,-71.31259733,-30.26955361,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.852537537,-999,-999,-999,-999
12962,UChile-Galleguillos_23_16,NA,NA,CHLSOC,-71.28232048,-30.2944213,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.810438244,-999,-999,-999,-999
12963,UChile-Galleguillos_24_34,NA,NA,CHLSOC,-71.25598265,-30.28838835,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.07247921,-999,-999,-999,-999
12964,UChile-Galleguillos_25_18,NA,NA,CHLSOC,-71.23653019,-30.25542279,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.064225153,-999,-999,-999,-999
12965,UChile-Galleguillos_26_26,NA,NA,CHLSOC,-71.28923395,-30.26992325,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.644418839,-999,-999,-999,-999
12966,UChile-Galleguillos_27_14,NA,NA,CHLSOC,-71.30350192,-30.28107651,NA,0,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.020089692,-999,-999,-999,-999
